Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,goles_barca,goles_rival,temporada
2002-01-06,Barcelona,Zaragoza,2,0,H,1.0,0.0,H,,,,,,,,,,,,,,2,0,0102
2002-01-13,Barcelona,Sevilla,3,1,H,1.0,1.0,D,,,,,,,,,,,,,,3,1,0102
2002-01-20,Vallecano,Barcelona,2,1,H,1.0,0.0,H,,,,,,,,,,,,,,1,2,0102
2002-01-27,Barcelona,Osasuna,0,1,A,0.0,0.0,D,,,,,,,,,,,,,,0,1,0102
2002-02-02,Tenerife,Barcelona,0,6,A,0.0,2.0,A,,,,,,,,,,,,,,6,0,0102
2002-02-06,Barcelona,Sociedad,2,0,H,0.0,0.0,D,,,,,,,,,,,,,,2,0,0102
2002-02-09,Mallorca,Barcelona,0,0,D,0.0,0.0,D,,,,,,,,,,,,,,0,0,0102
2002-02-16,Barcelona,La Coruna,3,2,H,1.0,1.0,D,,,,,,,,,,,,,,3,2,0102
2002-02-23,Valencia,Barcelona,2,0,H,1.0,0.0,H,,,,,,,,,,,,,,0,2,0102
2002-03-03,Barcelona,Malaga,5,1,H,3.0,0.0,H,,,,,,,,,,,,,,5,1,0102
2002-03-09,Betis,Barcelona,2,1,H,1.0,0.0,H,,,,,,,,,,,,,,1,2,0102
2002-03-16,Barcelona,Real Madrid,1,1,D,0.0,1.0,A,,,,,,,,,,,,,,1,1,0102
2002-03-24,Valladolid,Barcelona,1,2,A,1.0,2.0,A,,,,,,,,,,,,,,2,1,0102
2002-03-30,Barcelona,Las Palmas,1,1,D,1.0,0.0,H,,,,,,,,,,,,,,1,1,0102
2002-04-06,Ath Bilbao,Barcelona,0,2,A,0.0,1.0,A,,,,,,,,,,,,,,2,0,0102
2002-04-14,Barcelona,Alaves,3,2,H,1.0,0.0,H,,,,,,,,,,,,,,3,2,0102
2002-04-20,Celta,Barcelona,2,1,H,1.0,0.0,H,,,,,,,,,,,,,,1,2,0102
2002-04-27,Barcelona,Villarreal,4,1,H,0.0,1.0,A,,,,,,,,,,,,,,4,1,0102
2002-05-05,Barcelona,Espanol,2,0,H,1.0,0.0,H,,,,,,,,,,,,,,2,0,0102
2002-05-11,Zaragoza,Barcelona,1,1,D,1.0,1.0,D,,,,,,,,,,,,,,1,1,0102
2002-09-01,Barcelona,Ath Madrid,2,2,D,1.0,1.0,D,,,,,,,,,,,,,,2,2,0203
2002-09-14,Ath Bilbao,Barcelona,0,2,A,0.0,2.0,A,,,,,,,,,,,,,,2,0,0203
2002-09-21,Barcelona,Espanol,2,0,H,0.0,0.0,D,,,,,,,,,,,,,,2,0,0203
2002-09-28,Betis,Barcelona,3,0,H,1.0,0.0,H,,,,,,,,,,,,,,0,3,0203
2002-10-06,Barcelona,Osasuna,2,2,D,2.0,2.0,D,,,,,,,,,,,,,,2,2,0203
2002-10-20,Valladolid,Barcelona,2,1,H,0.0,0.0,D,,,,,,,,,,,,,,1,2,0203
2002-10-26,Barcelona,Alaves,6,1,H,4.0,0.0,H,,,,,,,,,,,,,,6,1,0203
2002-11-03,Santander,Barcelona,1,1,D,1.0,0.0,H,,,,,,,,,,,,,,1,1,0203
2002-11-09,Barcelona,Villarreal,1,0,H,0.0,0.0,D,,,,,,,,,,,,,,1,0,0203
2002-11-16,La Coruna,Barcelona,2,0,H,0.0,0.0,D,,,,,,,,,,,,,,0,2,0203
2002-11-23,Barcelona,Real Madrid,0,0,D,0.0,0.0,D,,,,,,,,,,,,,,0,0,0203
2002-12-01,Sociedad,Barcelona,2,1,H,1.0,1.0,D,,,,,,,,,,,,,,1,2,0203
2002-12-07,Vallecano,Barcelona,1,0,H,0.0,0.0,D,,,,,,,,,,,,,,0,1,0203
2002-12-15,Barcelona,Sevilla,0,3,A,0.0,1.0,A,,,,,,,,,,,,,,0,3,0203
2002-12-21,Mallorca,Barcelona,0,4,A,0.0,2.0,A,,,,,,,,,,,,,,4,0,0203
2003-01-05,Barcelona,Recreativo,3,0,H,2.0,0.0,H,,,,,,,,,,,,,,3,0,0203
2003-01-12,Malaga,Barcelona,0,0,D,0.0,0.0,D,,,,,,,,,,,,,,0,0,0203
2003-01-18,Barcelona,Valencia,2,4,A,1.0,2.0,A,,,,,,,,,,,,,,2,4,0203
2003-01-26,Celta,Barcelona,2,0,H,0.0,0.0,D,,,,,,,,,,,,,,0,2,0203
2003-02-01,Ath Madrid,Barcelona,3,0,H,1.0,0.0,H,,,,,,,,,,,,,,0,3,0203
2003-02-09,Barcelona,Ath Bilbao,2,2,D,2.0,0.0,H,,,,,,,,,,,,,,2,2,0203
2003-02-15,Espanol,Barcelona,0,2,A,0.0,2.0,A,,,,,,,,,,,,,,2,0,0203
2003-02-22,Barcelona,Betis,4,0,H,3.0,0.0,H,,,,,,,,,,,,,,4,0,0203
2003-03-02,Osasuna,Barcelona,2,2,D,0.0,0.0,D,,,,,,,,,,,,,,2,2,0203
2003-03-08,Barcelona,Valladolid,1,1,D,1.0,0.0,H,,,,,,,,,,,,,,1,1,0203
2003-03-16,Alaves,Barcelona,0,0,D,0.0,0.0,D,,,,,,,,,,,,,,0,0,0203
2003-03-23,Barcelona,Santander,6,1,H,3.0,0.0,H,,,,,,,,,,,,,,6,1,0203
2003-04-05,Villarreal,Barcelona,2,0,H,0.0,0.0,D,,,,,,,,,,,,,,0,2,0203
2003-04-12,Barcelona,La Coruna,2,4,A,2.0,1.0,H,,,,,,,,,,,,,,2,4,0203
2003-04-19,Real Madrid,Barcelona,1,1,D,1.0,1.0,D,,,,,,,,,,,,,,1,1,0203
2003-04-27,Barcelona,Sociedad,2,1,H,2.0,0.0,H,,,,,,,,,,,,,,2,1,0203
2003-05-04,Barcelona,Vallecano,3,0,H,0.0,0.0,D,,,,,,,,,,,,,,3,0,0203
2003-05-11,Sevilla,Barcelona,0,0,D,0.0,0.0,D,,,,,,,,,,,,,,0,0,0203
2003-05-18,Barcelona,Mallorca,1,2,A,0.0,1.0,A,,,,,,,,,,,,,,1,2,0203
2003-05-25,Recreativo,Barcelona,1,3,A,0.0,1.0,A,,,,,,,,,,,,,,3,1,0203
2003-06-01,Barcelona,Malaga,2,1,H,1.0,0.0,H,,,,,,,,,,,,,,2,1,0203
2003-06-15,Valencia,Barcelona,1,3,A,0.0,1.0,A,,,,,,,,,,,,,,3,1,0203
2003-06-22,Barcelona,Celta,2,0,H,1.0,0.0,H,,,,,,,,,,,,,,2,0,0203
2003-08-30,Ath Bilbao,Barcelona,0,1,A,0.0,1.0,A,,,,,,,,,,,,,,1,0,0304
2003-09-03,Barcelona,Sevilla,1,1,D,0.0,1.0,A,,,,,,,,,,,,,,1,1,0304
2003-09-14,Albacete,Barcelona,1,2,A,0.0,1.0,A,,,,,,,,,,,,,,2,1,0304
2003-09-20,Barcelona,Osasuna,1,1,D,0.0,0.0,D,,,,,,,,,,,,,,1,1,0304
2003-09-28,Ath Madrid,Barcelona,0,0,D,0.0,0.0,D,,,,,,,,,,,,,,0,0,0304
2003-10-05,Barcelona,Valencia,0,1,A,0.0,1.0,A,,,,,,,,,,,,,,0,1,0304
2003-10-18,Barcelona,La Coruna,0,2,A,0.0,1.0,A,,,,,,,,,,,,,,0,2,0304
2003-10-26,Mallorca,Barcelona,1,3,A,0.0,2.0,A,,,,,,,,,,,,,,3,1,0304
2003-10-29,Barcelona,Murcia,3,0,H,1.0,0.0,H,,,,,,,,,,,,,,3,0,0304
2003-11-02,Sociedad,Barcelona,3,3,D,0.0,1.0,A,,,,,,,,,,,,,,3,3,0304
2003-11-09,Barcelona,Betis,2,1,H,1.0,0.0,H,,,,,,,,,,,,,,2,1,0304
2003-11-22,Villarreal,Barcelona,2,1,H,1.0,0.0,H,,,,,,,,,,,,,,1,2,0304
2003-11-30,Barcelona,Valladolid,0,0,D,0.0,0.0,D,,,,,,,,,,,,,,0,0,0304
2003-12-03,Malaga,Barcelona,5,1,H,2.0,0.0,H,,,,,,,,,,,,,,1,5,0304
2003-12-06,Barcelona,Real Madrid,1,2,A,0.0,1.0,A,,,,,,,,,,,,,,1,2,0304
2003-12-13,Espanol,Barcelona,1,3,A,1.0,3.0,A,,,,,,,,,,,,,,3,1,0304
2003-12-21,Barcelona,Celta,1,1,D,0.0,1.0,A,,,,,,,,,,,,,,1,1,0304
2004-01-04,Santander,Barcelona,3,0,H,0.0,0.0,D,,,,,,,,,,,,,,0,3,0304
2004-01-11,Barcelona,Zaragoza,3,0,H,2.0,0.0,H,,,,,,,,,,,,,,3,0,0304
2004-01-17,Barcelona,Ath Bilbao,1,1,D,0.0,0.0,D,,,,,,,,,,,,,,1,1,0304
2004-01-25,Sevilla,Barcelona,0,1,A,0.0,1.0,A,,,,,,,,,,,,,,1,0,0304
2004-02-01,Barcelona,Albacete,5,0,H,1.0,0.0,H,,,,,,,,,,,,,,5,0,0304
2004-02-08,Osasuna,Barcelona,1,2,A,0.0,1.0,A,,,,,,,,,,,,,,2,1,0304
2004-02-15,Barcelona,Ath Madrid,3,1,H,3.0,1.0,H,,,,,,,,,,,,,,3,1,0304
2004-02-21,Valencia,Barcelona,0,1,A,0.0,0.0,D,,,,,,,,,,,,,,1,0,0304
2004-02-29,La Coruna,Barcelona,2,3,A,0.0,2.0,A,,,,,,,,,,,,,,3,2,0304
2004-03-07,Barcelona,Mallorca,3,2,H,2.0,0.0,H,,,,,,,,,,,,,,3,2,0304
2004-03-14,Murcia,Barcelona,0,2,A,0.0,1.0,A,,,,,,,,,,,,,,2,0,0304
2004-03-21,Barcelona,Sociedad,1,0,H,0.0,0.0,D,,,,,,,,,,,,,,1,0,0304
2004-04-03,Barcelona,Villarreal,0,0,D,0.0,0.0,D,,,,,,,,,,,,,,0,0,0304
2004-04-10,Valladolid,Barcelona,1,3,A,0.0,2.0,A,,,,,,,,,,,,,,3,1,0304
2004-04-14,Betis,Barcelona,1,1,D,1.0,1.0,D,,,,,,,,,,,,,,1,1,0304
2004-04-18,Barcelona,Malaga,3,0,H,3.0,0.0,H,,,,,,,,,,,,,,3,0,0304
2004-04-25,Real Madrid,Barcelona,1,2,A,0.0,0.0,D,,,,,,,,,,,,,,2,1,0304
2004-05-02,Barcelona,Espanol,4,1,H,2.0,1.0,H,,,,,,,,,,,,,,4,1,0304
2004-05-08,Celta,Barcelona,1,0,H,1.0,0.0,H,,,,,,,,,,,,,,0,1,0304
2004-05-16,Barcelona,Santander,1,0,H,1.0,0.0,H,,,,,,,,,,,,,,1,0,0304
2004-05-23,Zaragoza,Barcelona,2,1,H,1.0,1.0,D,,,,,,,,,,,,,,1,2,0304
2004-08-29,Santander,Barcelona,0,2,A,0.0,0.0,D,,,,,,,,,,,,,,2,0,0405
2004-09-11,Barcelona,Sevilla,2,0,H,1.0,0.0,H,,,,,,,,,,,,,,2,0,0405
2004-09-19,Ath Madrid,Barcelona,1,1,D,0.0,1.0,A,,,,,,,,,,,,,,1,1,0405
2004-09-23,Barcelona,Zaragoza,4,1,H,1.0,1.0,D,,,,,,,,,,,,,,4,1,0405
2004-09-26,Mallorca,Barcelona,1,3,A,0.0,3.0,A,,,,,,,,,,,,,,3,1,0405
2004-10-03,Barcelona,Numancia,1,0,H,0.0,0.0,D,,,,,,,,,,,,,,1,0,0405
2004-10-16,Espanol,Barcelona,0,1,A,0.0,1.0,A,,,,,,,,,,,,,,1,0,0405
2004-10-24,Barcelona,Osasuna,3,0,H,2.0,0.0,H,,,,,,,,,,,,,,3,0,0405
2004-10-30,Ath Bilbao,Barcelona,1,1,D,1.0,1.0,D,,,,,,,,,,,,,,1,1,0405
2004-11-06,Barcelona,La Coruna,2,1,H,2.0,1.0,H,,,,,,,,,,,,,,2,1,0405
2004-11-14,Betis,Barcelona,2,1,H,0.0,0.0,D,,,,,,,,,,,,,,1,2,0405
2004-11-20,Barcelona,Real Madrid,3,0,H,2.0,0.0,H,,,,,,,,,,,,,,3,0,0405
2004-11-27,Getafe,Barcelona,1,2,A,0.0,2.0,A,,,,,,,,,,,,,,2,1,0405
