temporada,gasto_total_liga
0001,497222019
0102,312767000
0203,194916000
0304,158500000
0405,261685000
0506,251205000
0607,409822000
0708,571450000
0809,392015000
0910,507335000
1011,315731040
1112,400615000
1213,167720000
1314,452199060
9394,46826024
9495,58083061
9596,81630870
9697,252865057
9798,354451775
9899,280855000
9900,299142000
